m_1936,553570,60,93,1.15,0,49.08,39.3,9
m_1936,553950,40,90,2.46,0,49.09,39.3,9
m_1936,554130,45,90,1.73,0,49.09,39.31,6
m_1936,554160,41,89,2.99,0,49.09,39.31,8
m_1936,554230,39,88,3.11,0,49.09,39.31,5
m_1936,554250,38,89,3.11,0,49.09,39.31,5
m_1936,554370,41,89,2.65,0,49.1,39.31,12
m_1936,554500,57,93,1.84,1,49.1,39.31,8
m_1936,554530,60,94,1.19,1,49.1,39.31,8
m_1936,554540,58,94,,,49.1,39.31,8
m_1936,554690,56,94,6.13,0,49.1,39.32,9
m_1936,554770,53,92,1.65,1,49.11,39.32,4
m_1936,554810,65,94,4.94,1,49.11,39.32,4
m_1936,554850,42,95,1.79,0,49.11,39.32,8
m_1936,554890,55,95,1.36,1,49.11,39.32,7
m_1936,555070,51,94,,,49.11,39.32,10
m_1936,555100,56,94,1.65,1,49.11,39.32,10
m_1936,555150,52,90,1.39,1,49.11,39.33,7
m_1936,555220,43,91,2.7,1,49.12,39.33,8
m_1936,555250,53,92,1.4,1,49.12,39.33,9
m_1936,555270,47,92,1.47,0,49.12,39.33,9
m_1936,555300,45,91,2.71,0,49.12,39.33,8
m_1936,555410,66,94,1.1,1,49.12,39.33,12
m_1936,555470,57,92,6.97,1,49.12,39.33,10
m_1936,555730,40,89,4.24,1,49.13,39.34,10
m_1936,555770,39,90,8.46,0,49.13,39.34,10
m_1936,555790,45,90,1.93,1,49.13,39.34,8
m_1936,555910,59,92,1.86,1,49.13,39.34,8
m_1936,556000,39,91,,,49.13,39.34,7
m_1936,556160,33,90,4.04,1,49.13,39.34,8
m_1936,556220,33,90,3.9,1,49.13,39.34,4
m_1936,556320,30,89,5.53,1,49.14,39.34,5
m_1936,556360,34,90,5.15,1,49.14,39.34,5
m_1936,556380,36,90,5.48,0,49.14,39.35,7
m_1936,556420,44,91,3.14,0,49.14,39.35,7
m_1936,556520,32,89,,,49.14,39.35,6
m_1936,556530,32,90,6.15,1,49.14,39.35,6
m_1936,556570,32,90,5.18,1,49.14,39.35,6
m_1936,556740,28,90,6.56,0,49.14,39.35,5
m_1936,556760,26,91,6.86,0,49.14,39.35,5
m_1936,557020,33,92,5.39,1,49.15,39.35,6
m_1936,557180,34,92,4.33,1,49.15,39.36,5
m_1936,557650,47,92,1.64,1,49.16,39.36,8
m_1936,557690,36,93,,,49.16,39.36,8
m_1936,557810,42,95,7.12,1,49.16,39.37,7
m_1936,557850,36,94,2.91,1,49.16,39.37,6
m_1936,558360,69,97,1.29,1,49.17,39.38,6
m_1936,558380,61,95,0.81,1,49.17,39.38,6
m_1936,558410,64,94,4.3,1,49.17,39.38,6
m_1936,558460,59,93,1.5,1,49.18,39.38,7
m_1936,558480,63,94,,,49.18,39.38,9
m_1936,558520,57,92,1.13,1,49.18,39.38,9
m_1936,558610,65,92,1.04,1,49.18,39.38,6
m_1936,558940,52,92,1.35,1,49.19,39.39,9
m_1936,558950,51,92,5.64,1,49.19,39.39,9
m_1936,558980,51,93,0.94,1,49.19,39.39,11
m_1936,558990,54,93,0.84,0,49.19,39.39,11
m_1936,559210,54,94,1.27,1,49.19,39.39,15
m_1936,559250,62,95,5,1,49.2,39.4,15
m_1936,559420,47,92,1.87,1,49.2,39.4,10
m_1936,559530,48,93,1.02,1,49.2,39.4,8
m_1936,559590,61,94,0.62,1,49.2,39.4,11
m_1936,559670,66,95,5.07,1,49.21,39.4,9
m_1936,559680,64,95,1.72,1,49.21,39.4,16
m_1936,559740,62,97,1.74,1,49.21,39.41,8
m_1936,559940,58,95,0.91,1,49.21,39.41,7
m_1936,559990,52,94,1.27,1,49.21,39.41,6
m_1936,560060,57,94,0.8,1,49.21,39.41,10
m_1936,560130,52,94,1.12,1,49.22,39.41,9
m_1936,560140,50,93,1.88,1,49.22,39.41,9
m_1936,560190,49,93,1.69,1,49.22,39.41,10
m_1936,560240,52,94,1.12,1,49.22,39.41,7
m_1936,560690,56,92,5.13,1,49.23,39.42,9
m_1936,560730,62,93,0.89,1,49.23,39.42,7
m_1936,560740,66,93,0.77,1,49.23,39.42,7
m_1936,560760,61,92,0.91,1,49.23,39.42,13
m_1936,560900,58,93,0.82,1,49.23,39.43,9
m_1936,560950,56,90,0.99,1,49.23,39.43,14
m_1936,560970,54,89,0.96,0,49.23,39.43,14
m_1936,561000,55,90,1.47,1,49.23,39.43,12
m_1936,561060,50,88,1.49,1,49.24,39.43,8
m_1936,561200,49,90,1.28,1,49.24,39.43,10
m_1936,561280,63,90,1.2,1,49.24,39.43,11
m_1936,561320,46,89,0.85,1,49.24,39.44,12
m_1936,561370,49,89,1.58,1,49.24,39.44,12
m_1936,561410,52,90,5.35,1,49.25,39.44,12
m_1936,561460,43,90,2.58,1,49.25,39.44,12
m_1936,561470,48,89,5.99,1,49.25,39.44,12
m_1936,561620,42,89,2.13,0,49.25,39.44,6
m_1936,561690,49,91,1.21,0,49.25,39.44,6
m_1936,561760,43,91,3.27,1,49.25,39.44,6
m_1936,561770,44,91,7.54,1,49.25,39.44,6
m_1936,561910,53,92,1.52,1,49.26,39.45,11
m_1936,561980,53,93,0.86,1,49.26,39.45,10
m_1936,562110,63,93,0.79,2,49.26,39.45,8
m_1936,562120,66,93,1.15,1,49.26,39.45,8
m_1936,562370,51,94,3.99,1,49.27,39.46,6
m_1936,562490,55,95,1.13,1,49.27,39.46,6
m_1936,562730,55,93,3.59,1,49.27,39.46,7
m_1936,562740,48,93,1.01,1,49.27,39.46,5
m_1936,562790,52,93,3.58,1,49.28,39.46,5
m_1936,562800,50,94,0.81,1,49.28,39.46,6
m_1936,562840,47,93,1.54,1,49.28,39.46,6
